State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama, 1001.8, 1034.9, 1159.0, 1198.3, 1233.8, 1146.8, 1103.4, 1268.6, 1186.0, 1088.6, 1044.4, 1024.8, 1002.1, 1013.8, 964.3, 884.4, 906.9, 909.4, 950.6, 960.2, 987.0, 955.8, 973.7, 980.6, 1081.3, 1037.3, 887.8, 1064.2, 985.6, 877.3, 819.0
Alaska, 1236.8, 1191.7, 1161.8, 970.1, 842.3, 826.9, 894.3, 979.3, 880.7, 816.9, 800.0, 836.9, 843.2, 702.1, 667.4, 611.3, 621.9, 607.1, 609.2, 597.6, 573.6, 622.8, 620.1, 546.3, 471.7, 515.4, 434.8, 394.0, 403.9, 395.7, 427.6
Arizona, 1714.0, 1869.6, 1907.7, 1626.1, 1580.3, 1667.2, 1669.9, 1607.5, 1411.7, 1465.5, 1476.2, 1416.8, 1256.3, 1318.9, 1209.5, 1034.3, 1011.6, 1033.0, 1085.9, 1050.6, 991.0, 946.2, 963.6, 946.4, 901.6, 823.4, 794.2, 845.7, 807.7, 727.8, 647.1
Arkansas, 885.9, 941.4, 1029.9, 1078.0, 1091.8, 1194.4, 1210.9, 1226.5, 1092.7, 1099.3, 1097.1, 996.9, 953.2, 1013.4, 928.3, 850.2, 802.1, 823.7, 858.3, 917.1, 1096.4, 1085.1, 1133.6, 1130.1, 1187.6, 1202.8, 1111.1, 1157.6, 1107.6, 1026.4, 835.7
California, 1729.3, 1701.1, 1696.4, 1518.2, 1447.1, 1412.3, 1345.4, 1397.8, 1384.9, 1327.0, 1222.5, 1120.3, 979.4, 927.4, 823.5, 675.3, 656.3, 671.3, 681.2, 683.2, 686.1, 692.9, 678.1, 650.7, 647.0, 622.8, 612.9, 610.5, 646.8, 603.8, 522.3
Colorado, 1561.3, 1748.1, 1791.6, 1534.6, 1383.1, 1250.4, 1208.8, 1158.3, 1090.9, 1009.8, 925.7, 934.1, 900.8, 796.1, 786.5, 665.1, 630.8, 643.9, 703.8, 712.3, 717.3, 745.1, 681.9, 589.0, 568.0, 530.1, 519.0, 502.8, 504.2, 475.6, 438.2
Connecticut, 1128.9, 1135.5, 1197.6, 1218.3, 1218.0, 1236.0, 1227.7, 1191.1, 1108.6, 978.1, 889.8, 888.4, 842.2, 738.3, 665.9, 588.0, 512.0, 499.6, 494.7, 460.1, 456.1, 435.5, 444.6, 446.6, 431.5, 431.2, 423.6, 431.3, 411.7, 359.3, 332.4
Delaware, 1089.4, 1097.4, 1042.3, 1020.5, 1040.6, 902.2, 970.5, 1127.6, 957.6, 892.0, 877.9, 905.3, 804.1, 877.2, 859.5, 696.0, 665.6, 645.7, 664.4, 741.4, 683.0, 690.4, 742.5, 742.4, 776.9, 784.4, 839.1, 838.8, 805.7, 680.8, 616.5
District of Columbia, 1758.3, 1598.2, 1727.6, 1807.7, 1983.9, 1950.3, 1983.0, 2074.4, 1820.2, 1995.5, 1760.9, 1838.4, 1809.9, 1316.3, 1216.3, 976.3, 829.5, 862.5, 908.4, 837.7, 712.0, 614.6, 659.5, 667.4, 640.0, 616.4, 699.8, 622.0, 555.5, 510.9, 526.0
Florida, 1808.0, 2009.5, 2221.3, 2256.9, 2294.3, 2282.8, 2170.6, 2005.8, 1888.8, 1835.4, 1701.0, 1522.4, 1521.2, 1459.8, 1361.7, 1200.3, 1081.8, 1075.2, 1061.9, 1003.8, 956.7, 927.4, 944.6, 996.3, 1028.3, 981.1, 897.7, 891.8, 794.8, 708.7, 719.9
Georgia, 1204.6, 1356.6, 1453.1, 1552.1, 1610.8, 1712.5, 1619.4, 1514.7, 1442.8, 1307.3, 1153.9, 1059.9, 1114.8, 1086.3, 990.8, 917.1, 836.6, 854.2, 865.3, 910.5, 930.6, 924.9, 909.2, 946.0, 1038.3, 1003.2, 998.2, 978.5, 877.3, 835.0, 756.9
Hawaii, 1213.6, 1154.1, 1338.8, 1155.6, 1255.8, 1343.4, 1228.2, 1234.4, 1121.2, 1135.7, 1189.9, 1165.3, 1079.5, 1073.4, 936.2, 794.7, 880.3, 909.7, 1025.4, 913.6, 857.8, 769.0, 678.6, 708.2, 730.0, 713.7, 638.6, 592.5, 550.5, 552.0, 547.9
Idaho, 874.2, 887.3, 1003.5, 976.8, 870.0, 872.1, 813.2, 826.0, 743.6, 668.8, 719.1, 779.8, 709.1, 758.3, 693.1, 610.4, 566.5, 568.5, 554.0, 573.3, 549.8, 564.3, 514.5, 475.6, 442.8, 432.3, 414.5, 436.6, 453.8, 415.0, 393.3
Illinois, 1173.4, 1135.8, 1179.8, 1123.7, 1128.7, 1076.0, 1063.0, 1120.0, 1077.3, 1015.5, 1005.1, 917.6, 913.2, 870.5, 811.9, 711.7, 659.1, 632.2, 647.0, 619.4, 598.6, 608.2, 602.1, 587.6, 612.1, 603.0, 603.3, 604.4, 552.5, 458.4, 388.2
Indiana, 928.0, 914.6, 886.7, 946.7, 935.2, 969.1, 943.3, 977.1, 952.1, 852.0, 850.5, 821.6, 783.8, 821.7, 789.2, 714.5, 676.1, 697.9, 692.0, 670.7, 677.2, 698.3, 721.3, 732.6, 765.4, 761.0, 748.3, 776.1, 729.4, 650.7, 559.3
Iowa, 871.4, 913.6, 956.0, 917.8, 854.3, 846.9, 808.4, 832.5, 753.8, 730.7, 667.1, 757.5, 664.6, 771.5, 673.7, 592.9, 558.4, 575.9, 635.0, 595.3, 607.1, 611.9, 609.0, 574.8, 552.8, 545.9, 549.0, 573.5, 559.4, 514.8, 464.4
